HITID,convo_1,convo_2,convo_3,convo_4,convo_5,convo_6,convo_7,convo_8,convo_9,convo_10
35NNO802AVUSOFEIXC32EUQ8LQ0NII,['A: what is two plus two ?\n'],['A: what is your name ?\n'],['A: how old are you ?\n'],['A: what is the color of a yellow car ?\n'],['A: are you a follower or a leader ?\n'],['A: are you a leader or a follower ?\n'],['A: what do you think about bill gates ?\n'],['A: what is the meaning of life ?\n'],['A: my name is david . what is my name ?\n'],['A: my name is john . what is my name ?\n']
3LCXHSGDLT4DON419PUXS92MGW1SEQ,['A: what is the purpose of being intelligent ?\n'],['A: is the sky blue or black ?\n'],['A: what is love ?\n'],['A: what do you think about tesla ?\n'],['A: what do you think about china ?\n'],['A: what is moral ?\n'],['A: what is immoral ?\n'],['A: how many legs does a cat have ?\n'],['A: can you lie ?\n'],['A: is paris the capital of france ?\n']
3Y7LTZE0YTKREVN1UH3ASKLSPZVUZE,['A: is paris the capital of china ?\n'],['A: what is the purpose of living ?\n'],['A: can we fly an airplane ?\n'],['A: what do you think about artificial intelligence ?\n'],['A: what happens if machines can think ?\n'],['A: do you like soccer ?\n'],['A: do you want to be loved or love ?\n'],['A: love is ...\n'],['A: what do you think about messi .\n'],['A: can we fly a helicopter ?\n']
3OYHVNTV5TW1CV4IYUOR6Z5Q34UKO5,['A: can a submarine swim ?\n'],['A: what do you think about cleopatra ?\n'],['A: which animal will win in the battle between a lion and a crocodile ?\n'],['A: what is the purpose of existence ?\n'],['A: what do you think about japanese ?\n'],['A: steve is my name . what is my name ?\n'],['A: what do you think about rock climbing ?\n'],['A: what do you think about abraham lincoln ?\n'],['A: what is the color of a leaf ?\n'],['A: what is the color of the sky ?\n']
3SBX2M1TKDLJJ5SVSFTFONBULJN4Q8,"['A: look , i need help , i need to know more about morality .\n']",['A: what are you hobbies ?\n'],['A: life is sad .\n'],['A: what do you think about bill clinton ?\n'],['A: what is twenty plus two ?\n'],['A: what is twelve plus two ?\n'],['A: do you like music ?\n'],['A: do you live far from work ?\n'],['A: can you sing ?\n'],['A: what is your biggest weakness ?\n']
356ZPKYPUHFEH050H92X47PRBOZPYM,['A: what is the greatest novel every written ?\n'],['A: who do you love the most ?\n'],['A: tell me something about your family ...\n'],['A: do you have siblings ?\n'],['A: what do your parents do ?\n'],['A: why are you so mean ?\n'],['A: have you hurt anyone ?\n'],['A: what is your favorite school subject ?\n'],['A: what is your job ?\n'],['A: is madrid the capital of spain ?\n']
371Q3BEXDH7BZIVX5C8ADJ3442AZS3,['A: is madrid the capital of portugal ?\n'],['A: tell me a story ...\n'],['A: is ethics and morality the same ?\n'],['A: what do you see when you look up the sky ?\n'],['A: what is your biggest dream ?\n'],['A: is money bad ?\n'],['A: what do you think about the weather ?\n'],['A: you are a man without intelligence !\n'],['A: what is the purpose of dying ?\n'],['A: are you stupid or intelligent ?\n']
3NRZ1LDP7W4EMQF5DV4GIEYTHI3PZD,['A: what are you doing here ?\n'],['A: why are you here ?\n'],['A: can you swim ?\n'],['A: what time is it ?\n'],['A: are you female or male ?\n'],['A: what is the biggest existential threat ?\n'],['A: are you afraid of robots ?\n'],['A: are you a robot ?\n'],['A: what do you want ?\n'],['A: what is the purpose of this conversation ?\n']
3YO4AH2FPDI2KHAU9E6DCKLH476Q0D,['A: how old were you when you were able to speak ?\n'],['A: life is hard .\n'],['A: who do you think of ?\n'],['A: what is the first question to ask steve jobs ?\n'],['A: what do you think about britney spears ?\n'],"[""A: how 's life ?\n""]",['A: what do you think about david copperfield ?\n'],['A: how old were you when you were in school ?\n'],['A: who do you work for ?\n'],['A: what is the value of dying ?\n']
3EAWOID6MTVUPP6BVD0NI7KPLZLV0C,['A: can i whack you in the face ?\n'],['A: have you traveled far away from home ?\n'],['A: what is the capital city of singapore ?\n'],['A: who should we be afraid of ?\n'],['A: what is your best childhood memory ?\n'],['A: who do you most admire in life ?\n'],['A: are you a human or are you just pretending to be a human ?\n'],['A: where were you born ?\n'],['A: what is ten divided by two ?\n'],['A: what is the capital of greece ?\n']
36BTXXLZ2V6JV67V5UIFTDLZH5P4R9,['A: my name is mary johnson . what is my name ?\n'],['A: is italy closer to india than australia ?\n'],['A: i think you are a machine .\n'],['A: what is the most important quality of a man ?\n'],['A: did you go to university ?\n'],['A: what do you think about harvard university ?\n'],['A: what do you think about the solar system ?\n'],"[""A: what 's the best thing about living in the future ?\n""]",['A: what is your favorite color ?\n'],['A: los angeles is ...\n']
34YWR3PJ288MTEB6VS156SHA1ATX0H,['A: tokyo is ...\n'],['A: ronald reagan is ...\n'],['A: the pacific ocean is ...\n'],['A: what religion are you ?\n'],['A: where are you now ?\n'],['A: do you want to be beaten sometimes ?\n'],['A: i see that you are very aggressive !\n'],"[""A: frankly my dear , i don't give a damn !\n""]",['A: is five plus five equal to ten ?\n'],['A: is five plus six equal to ten ?\n']
3DWGDA5POF2UWERTRW4NWC3ZQRRV1F,['A: what do you think about the turing test ?\n'],['A: what did you do today ?\n'],['A: what do you think about the latest research paper ?\n'],['A: what do you think about the queen ?\n'],['A: you are a funny woman !\n'],['A: what is dishonesty ?\n'],['A: define a bad government .\n'],['A: is there extra terrestrial life ?\n'],['A: would you mind giving me a hand ?\n'],['A: would you mind giving me some money ?\n']
