HITID,convo_1,convo_2,convo_3,convo_4,convo_5,convo_6,convo_7,convo_8,convo_9,convo_10
3QMELQS6Y5BS2KJ3N28ZJS54LP96RL,"[""A: that was our insurance company ' s recommendation . "", 'B:  yes . it would be .\n']","['A: where is the sub going . . ', 'B:  no . get me out .\n']","['A: do i live alone . yes i do . do you live alone . ', 'B:  yes . <continued_utterance> what are you doing .\n']","['A: it is embarrassing . but you are all acting like you do not care . well , i am not getting paid enough to just jerk around here . i do not know about you . ', 'B:  i am not getting paid enough .\n']","['A: i am sorry . i am sorry i forgot the tent . i do not think i forgot anything else . ', 'B:  i bet you did not forget the bachelor party checks .\n']","['A: yeah . okay . he did ', 'B:  and then what . he touched you . did you maybe flirt a little .\n']","['A: i am doomed . ', 'B:  no you are not .\n']","['A: four . you are great with these kids . ', 'B:  thank you .\n']","['A: you live in the neighborhood . ', ""B:  uh-huh . my nephew ' s going to be staying with us in a few months , so i stopped by .\n""]","['A: real effective security . ', 'B:  you could have just flashed him your badge , you know .\n']"
3V0TR1NRVA2MOGT823TYR4WGPUF4AQ,"['A: and you ; you have got it all together . ', 'B:  i do not want it this way . i would not kill you just to kill you , but i cannot let you lose the gold for me . not when we are so close .\n']","['A: get out , frances . you can say you were hijacked . ', 'B:  it will take more than a dead squirrel to get me out of this seat . <continued_utterance> you have to push the shift lever down to get it into reverse .\n']","['A: oh -- <continued_utterance> why , it is a man . a man made out of tin . ', 'B:  what .\n']","['A: what . ', 'B:  let us go out and do something .\n']","['A: i just wanted the kid to see you -- ', 'B:  well , now he saw me . now you saw me . ok . now would you mind .\n']","['A: what is he doing . ', 'B:  working out .\n']","['A: she will come back . that is why i am going to . . to not have this baby . ', 'B:  not have it .\n']","['A: operator . ', 'B:  can you dial a local number for me .\n']","['A: stupid . ', 'B:  why do you say that .\n']","['A: what is that supposed to be . ', 'B:  it is a bear .\n']"
3TRB893CSJAKHUOUQ1JFQ2RTERIG7Y,"['A: no . ', 'B:  i saw the way he looked at you .\n']","['A: another hour of so . we have got enough food for a month . ', 'B:  i will never make it . cannot we stop just for a few minutes .\n']","['A: i guess . ', 'B:  you guess . did he or did not he .\n']","['A: i cannot stay . ', 'B:  i know . <continued_utterance> i need to ask you something . and i need you to tell me the truth . <continued_utterance> who is it . who is trying to kill me .\n']","['A: totally secure . without codes , you would need a missile to blast through the front door ; you normally cannot even get this close without a full security clearance . ', 'B:  . could you say that a little closer to the microphone .\n']","['A: not much . he was just a computer program . nothing more . ', 'B:  you did not see the expression you had on your face when you pulled the trigger . but i did . you kind of liked it , did not you . that thrill of going over the edge again . of taking out an innocent bystander or two , as long as you got the target .\n']","['A: a very enthusiastic welcome . ', 'B:  we do not often have guests . our girls have been looking forward to your visit for some time . welcome to curacao .\n']","['A: can . ', 'B:  cannot . cannot . cannot .\n']","['A: your last chance . take the money . ', 'B:  your last chance . give me the name .\n']","['A: you would recognize it if you tasted it . ', 'B:  i doubt it , darling . <continued_utterance> you want to keep him happy .\n']"
30Y6N4AHYPWRNTYIXPGDPYFW2BWDRK,"['A: right . <continued_utterance> what was it about . ', 'B:  you do not remember .\n']","['A: oh , shut up . ', 'B:  now that is what i like -- an insult with some originality . did you just make that up . just now . so clever .\n']","[""A: spy is such an odd word , mr . price . nobody is a . ' spy ' . anymore . "", 'B:  russell prefers pictures to words .\n']","['A: hi . ', 'B:  remember me , from the bookstore .\n']","['A: so why are you wearing his watch . ', 'B:  you are smarter than you look , frank . <continued_utterance> and you are right . here , take it .\n']","['A: yeah , yeah . i am flying solo now . ', 'B:  what .\n']","['A: i am surprised you are available . ', 'B:  i am surprised you are surprised .\n']","['A: i am relaxed . ', 'B:  take a vacation .\n']","['A: should i expect you for dinner . ', 'B:  i have the navy reception this evening . i will be home quite late . unless you have changed your mind about coming .\n']","['A: just relax , dear . now , um . what exactly are we looking at here . ', 'B:  what do you mean .\n']"
3LB1BGHFL2W71J61XA8M2YQF8KYYTP,"['A: a medicine man . ', 'B:  those are white words , not ours .\n']","['A: i hope you have not bought me a disgusting dress that i then have to wear like last year . ', 'B:  it was disgusting .\n']","['A: the food in italy is good . ', 'B:  yes .\n']","['A: how late . ', 'B:  no . just like an hour or so .\n']","['A: you two should continue this discussion in private . ', 'B:  your thoughts on the matter interest me . they might . help .\n']","['A: i have had enough of your insolence . put him in my car . i think they will enjoy attending our ribbon cutting at the acme factory . ', 'B:  what about him .\n']","['A: the babysitter . the guy got into the house and killed the two children upstairs . ', 'B:  oh , yeah , i remember something about that . a greek doctor .\n']","[""A: you do not . listen to this woman in a man ' s world , a very violent world . "", 'B:  there are plenty of other suppliers in mexico .\n']","['A: they are driving me nuts . ', 'B:  they are singing .\n']","['A: how -- how long does she have . ', 'B:  two , three months . maybe less .\n']"
3L21G7IH47W6SZUSVROCWS7KG181YK,"['A: i have come alone and unarmed . ', 'B:  to what end .\n']","['A: it is driving me crazy . this thing keeps going around and around in my head . ', 'B:  and you know what , it is not even like they wanted us to believe it -- it might have been us who wanted to believe it . but let us face it , nobody comes out of our rib .\n']","['A: i got the scholarship and he went nuts . he is crazy , and i am leaving . i am leaving . ', 'B:  great . go .\n']","['A: what the heck is up there . ', 'B:  woody . who is up there with you .\n']","['A: not much of a pass . ', 'B:  probably was a couple of hundred years ago when whoever drew the map came through here . worn down to nothing now .\n']","['A: was your family traveling with you . ', 'B:  no .\n']","['A: you are good at it . ', 'B:  oh look . a wedding . how lovely .\n']","['A: -- to picket -- ', 'B:  -- the big bad --\n']","['A: then you should just say so . ', 'B:  i just did .\n']","['A: would you be available . ', 'B:  when . next spring .\n']"
3QI9WAYOGQB43ZJG2R8492A07RS6S9,"['A: no , i will not . because the man who is coming here tonight is completely unlike you . the man who is coming here is kind and funny -- he has the most wonderful sense of humor -- ', 'B:  but he is not here .\n']","['A: you monster . how much for . ', 'B:  one kiss . <continued_utterance> that smile is gon na be the end of me .\n']","[""A: so why ' d you leave him . "", 'B:  you ever dated a guy who actually believes in soul mates .\n']","['A: oh , praise the lord . ', 'B:  nobody calls me an idiot .\n']","['A: i am going to deal with him . ', 'B:  get a grip . i did not know .\n']","['A: yeah , it is brian . ', 'B:  brian --\n']","['A: go away . ', 'B:  i know she is in there . let me talk to her .\n']","['A: yeah , you want it . ', 'B:  yeah .\n']","['A: i have not joined anything . does this look like fun . ', 'B:  okay , i know what you are thinking , but i am just checking it out . we kept hearing that this place was so evil , but now that i look around i am thinking maybe it is not all bad . there is a lot to learn here .\n']","['A: we had rather more important things on our mind than taking notes . we were trying to restore her . ', 'B:  what happened in those three .\n']"
3OLZC0DJ8JF0OBVLYNMYHSKCFMHIVK,"['A: that would indicate that it is the future . ', 'B:  the later events have never been kept a secret .\n']","['A: yep . ', 'B:  that is two people in one day who wanted to actually kill you .\n']","['A: how long . ', 'B:  she did not cone home last night . we found her car at the bus terminal , but nothing to suggest she bought a ticket .\n']","['A: try to communicate with her somehow . ', ""B:  you think that ' ll help .\n""]","['A: quit whining and get over here . we have got something for you . ', ""B:  unless it is a ' swing thought , ' i am not interested .\n""]","['A: who is idea was it . ', 'B:  mine . his . we both . thought . <continued_utterance> i did not want to come .\n']","['A: looking for a phone book . i want to call a cab . unless you wan na give me a ride . ', 'B:  who are you .\n']","['A: i never figured you for a pimp . ', ""B:  have you ever even looked at `` heaven . ' '\n""]","['A: why . ', 'B:  he feels it is not . appropriate .\n']","['A: he just let it explode . ', ""B:  what is the question nobody ' s asking . why that building . why not the federal building .\n""]"
30U1YOGZGAW3O8YVCEGIF8KSODFDS8,"['A: i think so . ', 'B:  you have got about four minutes to find out if you are wrong .\n']","['A: let us go you two . we are headed for the mountains . ', 'B:  in a minute .\n']","['A: oh yeah . why do not we start by taking this thing off my ankle . the poison needles . ', 'B:  on come on , x . did you really think we were that barbaric .\n']","['A: he is a great chef . ', 'B:  he is weird . and i expect more from you .\n']","['A: is it . ', 'B:  that is none of your business , i am sure . shall you do my front too .\n']","['A: restaurant . let them know we are running late . ', 'B:  five minutes . <continued_utterance> you are not at the center .\n']","['A: you and the carter boy . want to catch me up on recent developments . ', 'B:  you are asking if we are involved .\n']","['A: i have bad news for you . ', 'B:  no . . <continued_utterance> great . what are we supposed to do now .\n']","['A: i have been in prison , remember . ', 'B:  the government must have figured there was no better person to create a psycho than a psycho .\n']","['A: it does not matter anymore , forget it . ', 'B:  of course it matters . hey , hold on .\n']"
3WYZV0QBFJDI5SMASSVZJQDK075BX7,"['A: we will go down close to the sky bridge . we may be able to swing over and use it for cover . ', 'B:  no way . i sail . i do not fly .\n']","['A: what is he like . ', 'B:  i do not know . he is kind of a mook .\n']","['A: we can change our names . ', 'B:  we can live in a hacienda .\n']","['A: we walked all night . ', 'B:  you told me that i was .\n']","['A: how about an address . ', 'B:  ah . no .\n']","['A: his combined college board scores . ', 'B:  his iq .\n']","['A: why . he is a salami with eyes . ', 'B:  i thought he was cute .\n']","['A: i cannot believe it took us so long to finally get together . what exactly do you do for the government . ', ""B:  you might say . ' public relations . '\n""]","['A: did you see his kids . ', 'B:  no , they were asleep when i got here .\n']","['A: i had the most incredible dream last night , i -- ', 'B:  go .\n']"
