HITID,convo_1,convo_2,convo_3,convo_4,convo_5,convo_6,convo_7,convo_8,convo_9,convo_10
3NSCTNUR2ZL9S8PEHOF33F23HV7A5J,"['A: we had rather more important things on our mind than taking notes . we were trying to restore her . ', 'B:  what happened in those three . ', 'A:  . we were trying to restore her heartbeat .\n']""","['A: i want you to hear me out . ', 'B:  what . ', 'A:  you and i have done nothing . you especially . we are innocent .\n']""","['A: i have come alone and unarmed . ', 'B:  to what end . ', 'A:  to make you another proposition .\n']""","['A: restaurant . let them know we are running late . ', 'B:  five minutes . <continued_utterance> you are not at the center . ', 'A:  i know i am not at the center of the bridge .\n']""","['A: what . ', 'B:  you are bleeding . ', 'A:  it is nothing .\n']""","['A: who . ', 'B:  the guy on the phone . ', """"A:  what ' d he say .\n""""]""","['A: what are you doing . ', 'B:  counting the gray hairs in your head . ', 'A:  counting the what . what does that have to do with the price of butter .\n']""","['A: -- to picket -- ', 'B:  -- the big bad -- ', 'A:  -- chain store --\n']""","['A: she told you about . . . ', 'B:  her dog , yes . ', """"A:  actually , it was her husband ' s dog .\n""""]""","['A: not much of a pass . ', 'B:  probably was a couple of hundred years ago when whoever drew the map came through here . worn down to nothing now . ', 'A:  picks up again just on the other side .\n']"""
3NRZ1LDP7W4EMQF5DV4GIEYTHGEZPU,"['A: oh , praise the lord . ', 'B:  nobody calls me an idiot . ', 'A:  god damn it man . i think he broke my nose .\n']""","['A: it is embarrassing . but you are all acting like you do not care . well , i am not getting paid enough to just jerk around here . i do not know about you . ', 'B:  i am not getting paid enough . ', 'A:  i care about what i do and so should you .\n']""","['A: well , that is all part of it . ', 'B:  we have got weather moving in from the west . ', 'A:  that is part of it , too .\n']""","['A: i have been in prison , remember . ', 'B:  the government must have figured there was no better person to create a psycho than a psycho . ', 'A:  just like they figured there was no better person to catch one .\n']""","['A: i had the most incredible dream last night , i -- ', 'B:  go . ', 'A:  is this something you want me to work out on my own .\n']""","['A: how late . ', 'B:  no . just like an hour or so . ', 'A:  what about the chairs .\n']""","['A: your last chance . take the money . ', 'B:  your last chance . give me the name . ', 'A:  stripped of all your weaponry , you still threaten me .\n']""","[""""A: spy is such an odd word , mr . price . nobody is a . ' spy ' . anymore . """", 'B:  russell prefers pictures to words . ', 'A:  you do not have to apologize . you are journalists .\n']""","['A: let me ask you this : when you smoke a cigar , do you ever pretend it has balls . ', 'B:  come on , that would not make me gay . ', 'A:  i am going to fix you up with my new assistant .\n']""","['A: another hour of so . we have got enough food for a month . ', 'B:  i will never make it . cannot we stop just for a few minutes . ', 'A:  we have not gon na get to the cabin till after dark as it is , thelma .\n']"""
3FBEFUUYRK35BCPSM7P8VLG3DQIA6Z,"['A: let us go you two . we are headed for the mountains . ', 'B:  in a minute . ', 'A:  come on , burt , we cannot hold still long . they are damn smart and getting smarter by the minute .\n']""","['A: they are driving me nuts . ', 'B:  they are singing . ', 'A:  it is a disgusting song .\n']""","['A: why did you . ', 'B:  why did i what . ', 'A:  come after me . time traveller i did it to save your life , young lady , which i am afraid does not hold much meaning for you or anyone else . the girl it does not .\n']""","['A: i think that was legally your fault . ', 'B:  get the first aid kit . <continued_utterance> come on , big guy . do me a favor and do not be dead , okay . open your eyes and look at me . ', 'A:  wow . does he need cpr . because i know cpr .\n']""","['A: just relax , dear . now , um . what exactly are we looking at here . ', 'B:  what do you mean . ', 'A:  i mean is it . is it . .\n']""","['A: yep . ', 'B:  that is two people in one day who wanted to actually kill you . ', 'A:  i have never been more popular .\n']""","['A: my babies . ', 'B:  somebody broke in . ', """"A:  now who ' d go and do .\n""""]""","['A: we did not know you were going to kill him -- ', 'B:  you calling me a murderer . ', 'A:  did i say that .\n']""","['A: he flashed his badge to half the bar when he bought his drink . ', 'B:  i appreciate you bringing this to our attention . whatever you want , the rest of the night , consider it on the house . ', 'A:  thanks , but i am here on business . i heard you are the g around here . i am looking for some cars , expensive ones . a lot of them .\n']""","['A: she will come back . that is why i am going to . . to not have this baby . ', 'B:  not have it . ', 'A:  no . there is no way . i mean , do not you think there is no way .\n']"""
3D1UCPY6GG7SV59V677WSRYODBG83N,"['A: he is a great chef . ', 'B:  he is weird . and i expect more from you . ', 'A:  you expect more what .\n']""","['A: the babysitter . the guy got into the house and killed the two children upstairs . ', 'B:  oh , yeah , i remember something about that . a greek doctor . ', 'A:  that is right . that is the one .\n']""","['A: what is it about . ', 'B:  my father . ', 'A:  what about your father .\n']""","['A: what are you talking . . he is had two months training in those choppers . ', 'B:  four . ', 'A:  what is it out there , anyway . forty- five knots .\n']""","['A: yeah . okay . he did ', 'B:  and then what . he touched you . did you maybe flirt a little . ', 'A:  i wan na go home now .\n']""","['A: brooks , what is a perceptive fellow like you , doing in a joint like this . let me buy you a glass of some of that russian shit you like . ', """"B:  fbi . what you investigatin ' . """", 'A:  a murder . on the reservation .\n']""","['A: all in good time , my little pretty -- all in good time . ', 'B:  oh , please give me back my dog . ', 'A:  certainly -- certainly -- when you give me those slippers .\n']""","['A: four . you are great with these kids . ', 'B:  thank you . ', 'A:  you are really . you , are you the one they told me was the nurse .\n']""","['A: i am relaxed . ', 'B:  take a vacation . ', 'A:  i am on vacation . .\n']""","['A: stock broker . as in : never have so few done so little for so much . so what do you see in this . ', 'B:  i would give anything to have this in my house , even for a week . ', 'A:  . few thousand dollars down the drain if you ask me .\n']"""
33K3E8REWWT4B3G9QWEKZ7NSK6GX8B,"['A: oh yeah . why do not we start by taking this thing off my ankle . the poison needles . ', 'B:  on come on , x . did you really think we were that barbaric . ', 'A:  no needles , huh . what about the acid bath .\n']""","[""""A: your fathered owned the entire `` heaven ' ' empire . you own it now . any questions . """", 'B:  everything . the publishing division , the real estate holdings , the retail outlets , the theme parks . ', 'A:  as far as the eye can see .\n']""","['A: it is driving me crazy . this thing keeps going around and around in my head . ', 'B:  and you know what , it is not even like they wanted us to believe it -- it might have been us who wanted to believe it . but let us face it , nobody comes out of our rib . ', 'A:  was the dope in the diaper , yes or no .\n']""","['A: i do not think so . ', 'B:  someplace nearby . ', 'A:  not tonight . you would better go .\n']""","['A: i was good . i mean , even better than usual . ', 'B:  if you do not say so . ', 'A:  . if i do not say so myself , yeah . top notch performance . what , you disagree .\n']""","['A: i have bad news for you . ', 'B:  no . . <continued_utterance> great . what are we supposed to do now . ', 'A:  do you know how to play pool .\n']""","['A: i think so . ', """"B:  what do you mean `` you think so . ' ' """", 'A:  yeah . i got it . pretty mean frostbite .\n']""","['A: the food in italy is good . ', 'B:  yes . ', 'A:  what about the women .\n']""","['A: whose body was it . who is the one who hired you . the seven dwarves . ', 'B:  i have not had any accident . ', 'A:  no , of course not . it was not an accident at all . it was attempted murder .\n']""","['A: what is she done . i am all but lame from the bite on my leg . ', 'B:  you mean she bit you . ', 'A:  no , her dog .\n']"""
3LAZVA75NIP6VF0S9OIN63JWM2K2O9,"['A: you two should continue this discussion in private . ', 'B:  your thoughts on the matter interest me . they might . help . ', 'A:  it seems to me that . you are doing very well on your own .\n']""","['A: i would really prefer it if you would make some other arrangement . ok . ', 'B:  i will do my best . . ', """"A:  how old ' s your son .\n""""]""","['A: then bring me a healing stone , you savages . ', 'B:  what the hell is this guy on . ', 'A:  you are no match for the mighty -- thor struggles a beat , then passes out .\n']""","['A: get out , frances . you can say you were hijacked . ', 'B:  it will take more than a dead squirrel to get me out of this seat . <continued_utterance> you have to push the shift lever down to get it into reverse . ', 'A:  thanks , frances .\n']""","['A: go away . ', 'B:  i know she is in there . let me talk to her . ', 'A:  i do not know what you are talking about . go away .\n']""","['A: they really hated it . i think they hated it more than any of the other ones . ', 'B:  well . ', 'A:  it does not matter . it only took me an hour to write .\n']""","['A: what is he doing . ', 'B:  working out . ', 'A:  is he gon na do it every morning .\n']""","['A: theres worse places , honey . ', 'B:  if you say so . ', 'A:  trust me on it .\n']""","['A: yeah , you want it . ', 'B:  yeah . ', 'A:  it is in here somewhere .\n']""","['A: i am afraid that is not possible . ', 'B:  i must speak to those young women . ', 'A:  the young women do not wish to be spoken to .\n']"""
32TMVRKDGNWDD1SZ6LCF2WQURBC848,"['A: you and the carter boy . want to catch me up on recent developments . ', 'B:  you are asking if we are involved . ', 'A:  i am asking how much .\n']""","[""""A: ' not tonight ' means maybe some other night . """", 'B:  i did not mean it like that . ', 'A:  consciously you did not mean it like that -- but how about unconsciously , you are the expert , did you mean it unconsciously .\n']""","['A: you have had your say , wes . now leave it . ', 'B:  maybe you have got ideas of your own for the gold . maybe you have already got things worked out . ', 'A:  maybe i do .\n']""","['A: just now . ', 'B:  you are not going to believe this -- i just beat you guys and everybody else here to a story . . exclusive . eat your heart out . ', """"A:  what ' d ya get .\n""""]""","['A: yeah , yeah . i am flying solo now . ', 'B:  what . ', 'A:  i got ta make this putt .\n']""","['A: it was incredible . the light , the crowd , everything . ', 'B:  such enthusiasm . have i told you lately how proud i am of you . ', 'A:  seriously . i am doing all right .\n']""","['A: we walked all night . ', 'B:  you told me that i was . ', 'A:  . that you were everything i would ever dreamed of .\n']""","['A: i am going to have to ask that you not use the pool during regular hours . i will put time aside for you late in the day . and it will not be possible for you to eat in the dining room either . but i promise i will find someplace suitable . ', 'B:  they do not want us to eat in their presence . ', 'A:  of course for you i can make other accommodations . <continued_utterance> thank you .\n']""","['A: so why are you wearing his watch . ', 'B:  you are smarter than you look , frank . <continued_utterance> and you are right . here , take it . ', 'A:  what . no , i cannot . this thing must be worth a fortune --\n']""","['A: we do not often have guests . our girls have been looking forward to your visit for some time . welcome to curacao . ', 'B:  thank you . you are all ready to sail then . ', 'A:  i should think so .\n']"""
3CIS7GGG65HT30W5YUPX7AKA1RYEU0,"['A: all i know is , you killed your girlfriend and i do not know what is in your mind . ', 'B:  i need your help . ', 'A:  i would work on this case forever if i could , but we have run out of time .\n']""","['A: right . <continued_utterance> what was it about . ', 'B:  you do not remember . ', 'A:  when she said it , there was something familiar . but no .\n']""","['A: remember me , from the bookstore . ', 'B:  of course i remember you . ', 'A:  how is your aunt .\n']""","['A: i arrived this morning . ', 'B:  you have been . busy . ', 'A:  i have also fallen in love .\n']""","['A: i would doing this . ', 'B:  ok , son . ', 'A:  i am doing it .\n']""","['A: have you seen my new toothbrush . ', 'B:  it should be in the bathroom . ', 'A:  well it should be but it is not .\n']""","['A: we can change our names . ', 'B:  we can live in a hacienda . ', 'A:  i wan na get a job . i wan na work at club med .\n']""","['A: how long . ', 'B:  she did not cone home last night . we found her car at the bus terminal , but nothing to suggest she bought a ticket . ', 'A:  maybe she used another name .\n']""","['A: the only proof is those bodies . ', 'B:  so what do we do . ', 'A:  move the bodies .\n']""","['A: yes , i love you . i have told you , but it does not really matter . ', 'B:  why . it does . ', 'A:  no , it does not . just kiss me .\n']"""
371Q3BEXDH7BZIVX5C8ADJ3440LZSA,"['A: i am afraid i disagree . the song is funny , but there is one thing wrong with it . ', 'B:  what is that , sir . ', 'A:  it is true . i would rather you did not .\n']""","['A: what the heck is up there . ', 'B:  woody . who is up there with you . ', 'A:  woody , what are you doing under the bed .\n']""","['A: i have not joined anything . does this look like fun . ', 'B:  okay , i know what you are thinking , but i am just checking it out . we kept hearing that this place was so evil , but now that i look around i am thinking maybe it is not all bad . there is a lot to learn here . ', 'A:  what . like human sacrifice .\n']""","['A: think i may have cracked it . ', 'B:  really . ', 'A:  i think so . maybe .\n']""","['A: i . r . s . fucking bandits . bandits . thieving sons of bitches . ', 'B:  you need a ride uptown . ', 'A:  i could use one .\n']""","['A: yeah , why . ', 'B:  when the hell did this package arrive . ', 'A:  will you quit shouting .\n']""","['A: it is never going to get to that . the store is fine . ', 'B:  i do not even know why you would say that . ', 'A:  neither do i . it just flew out of my mouth .\n']""","['A: no , i will not . because the man who is coming here tonight is completely unlike you . the man who is coming here is kind and funny -- he has the most wonderful sense of humor -- ', 'B:  but he is not here . ', 'A:  if he is not here , he has a reason , because there is not a cruel or careless bone in his body . i cannot expect you to know anything about a person like that . you have nothing but a suit .\n']""","[""""A: you are going to be hungover for three days . like those guys on `` oprah ' ' that get drunk and have disgusting sex with prostitutes and then say their vows with the stench of cheap hotel whore sex all over them . """", 'B:  time out . ', 'A:  it is vile .\n']""","['A: no . ', 'B:  where . ', 'A:  in the head .\n']"""
3EAWOID6MTVUPP6BVD0NI7KPLXWV0J,"['A: should i expect you for dinner . ', 'B:  i have the navy reception this evening . i will be home quite late . unless you have changed your mind about coming . ', 'A:  do you wish me to come .\n']""","['A: yeah . ', 'B:  i want you to tell me who changed the colors on my computer screen . ', 'A:  i will never tell .\n']""","['A: hi . ', 'B:  remember me , from the bookstore . ', 'A:  of course i remember you .\n']""","['A: well -- ', 'B:  -- i thought -- maybe you could sell your half of the house to me , and i could pay you whatever it is over a certain amount of time , and that way -- ', 'A:  no , you know what . i will just go .\n']""","['A: what is it . kiddie porn again . sexual battery of a patient . i have had my license taken away in three states . ', 'B:  they want to discredit you -- for what . ', 'A:  for what . because i am a dangerous man . because i know too much about the truth .\n']""","['A: what is he like . ', 'B:  i do not know . he is kind of a mook . ', 'A:  what is a mook .\n']""","['A: you get it yet . ', 'B:  naw , nothing . ', 'A:  you will . you will get it .\n']""","['A: at wounded knee . i mean , that is where i was , and that is where the dream was . why . ', 'B:  you were running with the old ones . at the knee . heavy duty . ', 'A:  well , it was just a dream , i --\n']""","['A: you monster . how much for . ', 'B:  one kiss . <continued_utterance> that smile is gon na be the end of me . ', 'A:  and what happens when your friend calls you tomorrow .\n']""","['A: i am going to deal with him . ', 'B:  get a grip . i did not know . ', 'A:  you did not know .\n']"""
